year,mileage,model_name,model_brand_name,transmission,fuelType,sellingCondition,bodyType,mileageUnit,interiorColor,engineType,gradeScore,isFirstOwner
2015,126288,corolla,toyota,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),5.0,true
2018,61750,camry,toyota,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),5.0,true
2010,105417,sequoia,toyota,automatic,petrol,foreign,suv,km,grey,8-cylinder(v8),4.699999809265137,true
2013,34711,venza,toyota,automatic,petrol,foreign,suv,km,cream,6-cylinder(i6),5.0,true
2007,71723,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.5,true
2007,65305,es 350,lexus,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),4.900000095367432,true
2013,226294,avalon,toyota,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),4.800000190734863,true
2010,103815,glk 350,mercedes-benz,automatic,petrol,foreign,suv,km,cream,6-cylinder(i6),4.800000190734863,true
2012,98646,venza,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(v6),4.5,true
2013,144931,sonata,hyundai,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),4.699999809265137,true
2011,120514,edge,ford,automatic,petrol,foreign,suv,km,grey,6-cylinder(v6),4.699999809265137,true
2013,54688,venza,toyota,automatic,petrol,new,suv,km,black,6-cylinder(v6),4.800000190734863,true
1999,211341,sienna,toyota,automatic,petrol,local,suv,km,grey,4-cylinder(i4),4.400000095367432,true
2010,133609,pilot,honda,automatic,petrol,foreign,suv,km,other,6-cylinder(v6),5.0,true
2010,162117,rav 4,toyota,automatic,petrol,foreign,suv,km,black,6-cylinder(i6),5.0,true
2013,152248,highlander,toyota,automatic,petrol,foreign,suv,km,black,6-cylinder(i6),5.0,true
2010,131547,350,mercedes-benz,automatic,petrol,new,suv,km,black,6-cylinder(v6),5.0,true
2010,151372,350,mercedes-benz,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),5.0,true
2001,215669,highlander,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),4.5,true
2008,242018,accord,honda,automatic,petrol,new,sedan,km,other,4-cylinder(i4),4.599999904632568,true
2014,94953,clk 350,mercedes-benz,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),4.900000095367432,true
2014,104387,clk 350,mercedes-benz,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),4.900000095367432,true
2013,127905,glk 350,mercedes-benz,automatic,petrol,foreign,suv,km,gold,6-cylinder(v6),4.699999809265137,true
2013,62055,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2001,131663,sienna,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),4.5,true
2004,246994,f 150,ford,automatic,petrol,foreign,pickup,km,black,8-cylinder(v8),4.699999809265137,true
2004,83650,rx 330,lexus,automatic,petrol,foreign,suv,km,silver,6-cylinder(v6),4.599999904632568,true
2010,112234,transit connect,ford,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),4.599999904632568,true
2008,163623,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
2015,92467,camry,toyota,automatic,petrol,foreign,sedan,km,black,5-cylinder(i5),4.900000095367432,true
2013,70626,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
2018,43895,nx 300,lexus,automatic,petrol,foreign,suv,km,black,4-cylinder(i4),5.0,true
2018,12748,accord,honda,automatic,petrol,foreign,sedan,km,blue,4-cylinder(i4),4.900000095367432,true
2009,169466,highlander,toyota,automatic,petrol,foreign,suv,km,gold,6-cylinder(i6),4.900000095367432,true
2018,30430,camry,toyota,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),5.0,true
2008,144801,rx 350,lexus,automatic,petrol,foreign,suv,km,silver,6-cylinder(i6),4.699999809265137,true
2001,251575,t4 caravelle,volkswagen,automatic,diesel,foreign,bus,km,grey,4-cylinder(i4),5.0,true
2010,171507,cls 550,mercedes-benz,automatic,petrol,foreign,sedan,km,biege,8-cylinder(v8),5.0,true
2005,262355,highlander,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),5.0,true
2000,263551,t4 caravelle,volkswagen,automatic,petrol,foreign,bus,km,ash,4-cylinder(i4),5.0,true
2008,85894,rx 350,lexus,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),5.0,true
2008,12345,accord,honda,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.599999904632568,true
2011,195519,taurus,ford,automatic,petrol,foreign,sedan,km,grey,6-cylinder(v6),4.800000190734863,true
2010,270627,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2007,150351,rav 4,toyota,automatic,petrol,local,suv,km,grey,6-cylinder(v6),4.699999809265137,true
2012,125217,camry,toyota,automatic,petrol,foreign,sedan,km,black,4-cylinder(i4),4.800000190734863,true
2015,57124,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2017,44669,sienna,toyota,automatic,petrol,foreign,suv,km,black,4-cylinder(i4),5.0,true
2003,81463,gx 470,lexus,automatic,petrol,foreign,suv,km,cream,4-cylinder(i4),4.599999904632568,true
2010,46667,rx 350,lexus,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),4.800000190734863,true
2010,220510,highlander,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(v6),4.900000095367432,true
2010,209206,4-runner,toyota,automatic,petrol,foreign,suv,km,black,6-cylinder(v6),4.699999809265137,true
2011,66350,is 250,lexus,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),5.0,true
2010,84885,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
2010,145389,c 300,mercedes-benz,automatic,petrol,foreign,sedan,km,cream,6-cylinder(v6),4.800000190734863,true
2000,181898,t4 caravelle,volkswagen,automatic,petrol,foreign,pickup,km,ash,4-cylinder(i4),5.0,true
2007,1442,is 250,lexus,automatic,petrol,foreign,sedan,km,black,6-cylinder(v6),5.0,true
2010,171815,rx 350,lexus,automatic,petrol,foreign,suv,km,biege,6-cylinder(v6),4.400000095367432,true
2013,56216,venza,toyota,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),5.0,true
2008,141096,es 350,lexus,automatic,petrol,foreign,sedan,km,grey,6-cylinder(v6),5.0,true
2012,89110,camry,toyota,automatic,petrol,foreign,sedan,km,cream,6-cylinder(i6),5.0,true
2006,211694,pilot,honda,automatic,petrol,foreign,suv,km,grey,6-cylinder(v6),5.0,true
2013,139895,highlander,toyota,automatic,petrol,foreign,suv,km,black,6-cylinder(i6),5.0,true
2010,43185,rx 350,lexus,automatic,petrol,foreign,suv,km,cream,6-cylinder(v6),5.0,true
2009,120666,mdx,acura,automatic,petrol,foreign,suv,km,grey,6-cylinder(i6),4.900000095367432,true
1998,156875,i10,hyundai,automatic,petrol,foreign,bus,km,grey,6-cylinder(v6),4.900000095367432,false
1999,125874,t5 transporter,volkswagen,automatic,petrol,new,bus,km,grey,6-cylinder(i6),5.0,true
2005,270971,tacoma,toyota,automatic,petrol,foreign,pickup,km,grey,6-cylinder(v6),4.800000190734863,true
2009,252132,sienna,toyota,automatic,petrol,foreign,minivan,km,grey,6-cylinder(i6),5.0,true
2010,146000,camry,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),5.0,true
2006,59836,camry,toyota,automatic,petrol,foreign,sedan,km,silver,4-cylinder(i4),4.800000190734863,true
2005,13628,camry,toyota,automatic,petrol,foreign,sedan,km,gold,4-cylinder(i4),4.800000190734863,true
2003,75824,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
2008,92442,is 250,lexus,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2010,138883,rx 350,lexus,automatic,petrol,foreign,suv,km,gold,6-cylinder(i6),4.900000095367432,true
2002,205500,t4 caravelle,volkswagen,automatic,petrol,foreign,pickup,km,ash,4-cylinder(i4),5.0,true
2010,102820,es 350,lexus,automatic,petrol,foreign,sedan,km,gold,6-cylinder(i6),4.900000095367432,true
2014,71657,highlander,toyota,automatic,petrol,foreign,suv,km,green,6-cylinder(i6),5.0,true
2013,150051,range rover sport,land rover,automatic,petrol,foreign,suv,km,black,8-cylinder(v8),5.0,true
2009,153411,landcruiser prado,toyota,automatic,petrol,foreign,suv,km,black,4-cylinder(i4),4.800000190734863,true
2010,75121,hiace,toyota,manual,petrol,local,bus,km,black,4-cylinder(i4),4.5,true
2012,62975,gl 450,mercedes-benz,automatic,petrol,foreign,suv,miles,black,8-cylinder(v8),4.800000190734863,true
2014,181381,e 350,mercedes-benz,automatic,petrol,foreign,sedan,km,cream,6-cylinder(i6),4.900000095367432,true
2008,95446,es 350,lexus,automatic,petrol,foreign,sedan,km,biege,6-cylinder(v6),4.599999904632568,true
2015,99841,rav 4,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),4.800000190734863,true
2010,85230,camry,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),4.900000095367432,true
2011,160079,lx 570,lexus,automatic,petrol,foreign,suv,km,black,8-cylinder(v8),4.699999809265137,true
2007,2739,cr-v,honda,automatic,diesel,foreign,suv,km,black,4-cylinder(i4),4.800000190734863,true
2003,90257,207,peugeot,automatic,petrol,foreign,coupe,km,black,4-cylinder(i4),4.900000095367432,true
2011,70424,camry,toyota,automatic,petrol,foreign,sedan,km,red,4-cylinder(i4),4.900000095367432,true
2006,183993,vibe,pontiac,automatic,petrol,foreign,hatchback,km,black,4-cylinder(i4),4.900000095367432,true
2008,182555,corolla,toyota,automatic,petrol,foreign,sedan,km,grey,4-cylinder(i4),4.800000190734863,true
2007,150448,cooper s,mini,automatic,petrol,foreign,coupe,km,black,4-cylinder(i4),4.5,true
2015,82370,rav 4,toyota,automatic,petrol,foreign,suv,km,silver,4-cylinder(i4),4.900000095367432,true
2000,184826,sienna,toyota,automatic,petrol,local,minivan,km,grey,6-cylinder(v6),4.5,true
2003,186000,jetta,volkswagen,automatic,petrol,local,sedan,km,grey,4-cylinder(i4),4.400000095367432,true
2012,111206,venza,toyota,automatic,petrol,foreign,suv,km,grey,4-cylinder(i4),4.900000095367432,true
2007,105204,camry,toyota,automatic,petrol,foreign,sedan,km,brown,4-cylinder(i4),4.900000095367432,true
2006,185172,corolla,toyota,automatic,petrol,local,sedan,km,grey,4-cylinder(i4),4.699999809265137,true
